account_number,meter_id,service_address,billing_period_start,billing_period_end,kwh_consumed,on_peak_kwh,off_peak_kwh,demand_kw,tariff_code,total_charges_usd,state_region
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-01-01,2024-02-02,14500,8990,5510,95,E-19 TOU,2547.5,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-02-03,2024-03-02,14680,9101,5579,69,E-19 TOU,2348.1,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-03-03,2024-04-01,14860,9213,5647,46,E-19 TOU,2174.2,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-04-02,2024-05-02,15040,9324,5716,40,E-19 TOU,2144.8,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-05-03,2024-06-04,15220,9436,5784,108,E-19 TOU,2744.4,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-06-05,2024-07-04,15400,9548,5852,113,E-19 TOU,2808.5,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-07-05,2024-08-11,15580,9659,5921,66,E-19 TOU,2430.6,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-08-12,2024-09-09,15760,9771,5989,47,E-19 TOU,2290.7,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-09-10,2024-10-08,15940,9882,6058,67,E-19 TOU,2482.3,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-10-09,2024-11-06,78200,48484,29716,42,E-19 TOU,9741.0,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-11-07,2024-12-07,16300,10106,6194,47,E-19 TOU,2355.5,US-TX
482-0192-8841,E-4829182-A,"1200 Technology Blvd, Austin TX 78701",2024-12-08,2025-01-04,16480,10217,6263,103,E-19 TOU,2853.1,US-TX
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-01-01,2024-01-30,15300,9486,5814,73,SC-9 General,2456.5,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-01-31,2024-03-02,15480,9597,5883,65,SC-9 General,2410.1,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-03-03,2024-04-04,15660,9709,5951,54,SC-9 General,2338.2,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-04-05,2024-05-07,15840,9820,6020,111,SC-9 General,2844.3,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-05-08,2024-06-08,16020,9932,6088,69,SC-9 General,2508.9,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-06-09,2024-07-10,16200,10044,6156,90,SC-9 General,2709.0,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-07-11,2024-08-09,16380,10155,6225,50,SC-9 General,2390.6,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-08-10,2024-09-07,16560,10267,6293,122,SC-9 General,3024.2,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-09-08,2024-10-09,16740,10378,6362,83,SC-9 General,2714.3,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-10-10,2024-11-10,16920,10490,6430,90,SC-9 General,2795.4,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-11-11,2024-12-12,17100,10602,6498,44,SC-9 General,2426.0,US-NY
019-4421-0038,NG-NYC-88421,"350 Fifth Avenue, New York NY 10118",2024-12-13,2025-01-04,17280,10713,6567,124,SC-9 General,3127.6,US-NY
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-01-01,2024-01-29,16100,9982,6118,45,LT-Industrial,2314.5,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-01-30,2024-03-01,16280,10093,6187,81,LT-Industrial,2642.1,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-03-02,2024-03-30,16460,10205,6255,69,LT-Industrial,2561.7,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-03-31,2024-04-29,16640,10316,6324,62,LT-Industrial,2523.8,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-04-30,2024-06-01,16820,10428,6392,95,LT-Industrial,2825.9,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-06-02,2024-07-01,17000,10540,6460,92,LT-Industrial,2822.0,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-07-02,2024-07-31,17180,10651,6529,73,LT-Industrial,2682.1,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-08-01,2024-09-01,17360,10763,6597,69,LT-Industrial,2669.7,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-09-02,2024-09-30,17540,10874,6666,94,LT-Industrial,2903.8,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-10-01,2024-11-02,17720,10986,6734,50,LT-Industrial,2551.4,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-11-03,2024-12-01,17900,11098,6802,121,LT-Industrial,3176.5,IN
TP-MH-8847291,TATA-PUN-01,"Hinjawadi Phase 2, Pune MH 411057",2024-12-02,2025-01-04,18080,11209,6871,107,LT-Industrial,3079.1,IN
